approach,approach_name,dgp,dgp_name,n,reps,mean_theta,bias,sd_theta,rmse,mean_se,coverage,coverage_lower,coverage_upper,mean_ci_width,median_ci_width,n_errors
3,doubletree,4,continuous,1000,480,0.18978175429750951,0.03978175429750952,0.03149677659924805,0.03978175429750952,0.03133772158038438,0.7648351648351648,0.7670329670329671,0.9978021978021978,0.12284161131019398,0.12267329409758858,25
3,doubletree,4,continuous,2000,500,0.19001784022088786,0.04001784022088786,0.023137066887195117,0.04001784022088786,0.02214386002558977,0.5725806451612904,0.5725806451612904,1,0.08680233625770428,0.08678264962555497,4
4,doubletree_averaged,1,simple,500,500,0.15517254837089953,0.00517254837089953,0.04507916581184869,0.00517254837089953,0.04434232549762368,0.94,0.962,0.978,0.17381872193218906,0.17361215420582962,0
4,doubletree_averaged,1,simple,1000,500,0.15552938847549932,0.005529388475499325,0.031781388453159594,0.005529388475499325,0.031187455090137765,0.942,0.956,0.986,0.12225257749226079,0.12223137007283218,0
4,doubletree_averaged,1,simple,2000,500,0.1548744777291527,0.004874477729152688,0.023093361297453104,0.004874477729152688,0.022014587087906524,0.934,0.956,0.978,0.08629559565363458,0.08628461041149524,0
4,doubletree_averaged,2,moderate,500,500,0.1470357850336787,-0.0029642149663213035,0.04696696067154065,0.0029642149663213035,0.04435194797617404,0.936,0.972,0.964,0.17385644135499048,0.17390814568176463,0
4,doubletree_averaged,2,moderate,1000,500,0.14804634912481512,-0.001953650875184867,0.031057777485513898,0.001953650875184867,0.03138370715027565,0.956,0.986,0.97,0.12302187143178486,0.12300665872637309,0
4,doubletree_averaged,2,moderate,2000,500,0.14805890219305134,-0.0019410978069486409,0.021074746059616234,0.0019410978069486409,0.022190640630008814,0.956,0.984,0.972,0.08698571285737695,0.08697271012948121,0
4,doubletree_averaged,3,complex,500,500,0.1471753765886774,-0.00282462341132259,0.04179783897219046,0.00282462341132259,0.043696543076061564,0.958139534883721,0.9813953488372092,0.9767441860465116,0.17128730135596743,0.1713120551910125,70
4,doubletree_averaged,4,continuous,500,500,0.18897755248895137,0.038977552488951385,0.04463541590682628,0.038977552488951385,0.044242084670659945,0.8433734939759037,0.8453815261044176,0.9979919678714859,0.1734257851109302,0.17351118715130243,2
