"n","lambda","rep","mse_e","mse_m0","mse_m1","num_leaves_e","num_leaves_m0","num_leaves_m1"
1600,0.2,5,0.000358653690712705,0.00241945827991261,0.00162709470053591,0,0,0
3200,0.2,5,0.000332601060516342,0.000211340848266233,0.000518853115458915,0,0,0
400,0.5,5,0.00203821500496717,0.0124104782482751,0.00986229402116811,0,0,0
800,0.5,5,0.00182659362486691,0.000999659624455366,0.00378530192286025,0,0,0
1600,0.5,5,0.000415714764377261,0.000108831737373694,0.000279478742966453,0,0,0
3200,0.5,5,0.00105133780502495,0.000948489599263709,0.000715008391902607,0,0,0
400,0.01,6,0.00644424939156325,0.00380566270452068,0.00453581597954296,0,0,0
800,0.01,6,0.000849641210228154,0.00193664344626966,0.00366049463044118,0,0,0
1600,0.01,6,0.00063025668069726,0.000218028023357872,0.000864496696205322,0,0,0
3200,0.01,6,0.000270578545621081,0.000996226898401445,0.000506868541945956,0,0,0
400,0.05,6,0.000758242527997964,0.0172975180383765,0.00390884268631727,0,0,0
800,0.05,6,0.000983243732347651,0.0013683999579329,0.0028873728447519,0,0,0
1600,0.05,6,0.0013406111162518,0.00110388502092854,0.00094599487578733,0,0,0
3200,0.05,6,0.000580261573562812,0.00113610908445492,0.000382189702766235,0,0,0
400,0.1,6,0.00163586356843217,0.0144316347875649,0.00511484720075158,0,0,0
800,0.1,6,0.00225428123845608,0.00367957075936719,0.000459574466172593,0,0,0
1600,0.1,6,0.000109257399450878,0.00210954878390494,0.00145840503673634,0,0,0
3200,0.1,6,0.000248529596997148,0.000251798755528947,0.000192970472396376,0,0,0
400,0.2,6,0.00453489674217612,0.00523225225539965,0.0029870379021842,0,0,0
800,0.2,6,0.00104177314335898,0.00138848865851183,0.00424889124683527,0,0,0
1600,0.2,6,0.00129096252396812,0.00135831163213138,0.000907272038462447,0,0,0
3200,0.2,6,0.000779728672189543,0.000292552892839946,0.00101570195985178,0,0,0
400,0.5,6,0.00165953820903657,0.00549248870693638,0.00343363326239251,0,0,0
800,0.5,6,0.00353133257193043,0.00531414485295846,0.00155546814526364,0,0,0
1600,0.5,6,0.000990937136917309,0.00021349402982562,0.00198591344392052,0,0,0
3200,0.5,6,0.000100451361956743,0.000373699586301843,0.000270601989822484,0,0,0
400,0.01,7,0.00412727522967165,0.00112829260894001,0.00725512331936107,0,0,0
800,0.01,7,0.000540606360902136,0.00213282394151546,0.00224470666290796,0,0,0
1600,0.01,7,0.000458954430002524,0.00176871528924635,0.000102816802478914,0,0,0
3200,0.01,7,0.000584271298621514,0.000755689755216849,0.000270590802409369,0,0,0
400,0.05,7,0.00263335847966243,0.0126245463512703,0.00259900343144665,0,0,0
800,0.05,7,0.00143918030632205,0.00895465895480722,0.000540635244331801,0,0,0
1600,0.05,7,0.000551698760465645,0.00194951875674385,0.00133876568966765,0,0,0
3200,0.05,7,0.000127227078409071,0.00244198608875972,0.000461603539983889,0,0,0
400,0.1,7,0.00261146491920147,0.0097036010265176,0.00384124958610998,0,0,0
800,0.1,7,0.000648325283788568,0.00260954567335746,0.000836011459464716,0,0,0
1600,0.1,7,0.000389079932925602,0.00164020172515892,0.000668091058181582,0,0,0
3200,0.1,7,0.000415529683344182,0.000592735173035223,3.47576504951582e-05,0,0,0
400,0.2,7,0.00588056990529714,0.00712860108394026,0.00663261075056997,0,0,0
800,0.2,7,0.000466630528613263,0.00560694468562091,0.0015191214834689,0,0,0
1600,0.2,7,0.00123469224666804,0.000515155312078282,0.000427315919996602,0,0,0
3200,0.2,7,0.000381622668400286,0.00235753346968751,0.000775118265510318,0,0,0
400,0.5,7,0.00175635835703377,0.0111144729670935,0.00335657638954141,0,0,0
800,0.5,7,0.00591239105676178,0.00770459566032915,0.00358328317601019,0,0,0
1600,0.5,7,0.00205619459513539,0.000792467146591676,0.000851772645482462,0,0,0
3200,0.5,7,0.000219706331694533,0.000591918539927829,7.94001828043124e-05,0,0,0
400,0.01,8,0.00443564915620068,0.00624171111050031,0.0173229454075431,0,0,0
800,0.01,8,0.00180181671343663,0.0033312359729966,0.0012653727031376,0,0,0
1600,0.01,8,0.000135916033010043,0.000674202552732817,0.000631982174597234,0,0,0
3200,0.01,8,9.26617559461858e-05,0.000603372822276539,0.000304670724323303,0,0,0
400,0.05,8,0.00382715679535142,0.00705638679941473,0.00434308273012088,0,0,0
800,0.05,8,0.000998629970736156,0.00345287400315993,0.00107113281799377,0,0,0
1600,0.05,8,3.15913523774869e-05,0.00184698417935673,0.0014233578129675,0,0,0
3200,0.05,8,0.000911933210339621,0.000179142070336266,0.000484405555598623,0,0,0
400,0.1,8,0.00101594163966095,0.00575549900474493,0.0045048365481193,0,0,0
800,0.1,8,0.00200662250941581,0.0010515466017078,0.00233712151205191,0,0,0
1600,0.1,8,0.000518330256778241,0.00103728909580776,0.00143485752922328,0,0,0
3200,0.1,8,0.000252014544466536,0.00163236710841557,0.000455000038877087,0,0,0
400,0.2,8,0.000551852141645793,0.00843178659419849,0.00426245329318229,0,0,0
800,0.2,8,0.00124514632016032,0.00348481543313155,0.00188961424156626,0,0,0
1600,0.2,8,0.00210192798698987,0.00195316257703039,0.000533681319164864,0,0,0
3200,0.2,8,0.000281034094208254,0.00266329619119323,0.000952322712338928,0,0,0
400,0.5,8,0.00367453703944414,0.00629190862584983,0.00658260991289592,0,0,0
800,0.5,8,0.00139705202412731,0.00363904572692095,0.00120643579140278,0,0,0
1600,0.5,8,0.00130801677520066,0.0006009160774644,0.00115788973858376,0,0,0
3200,0.5,8,1.89598635653314e-05,0.00115356327603343,0.000989919396976397,0,0,0
400,0.01,9,0.00301264558090851,0.00569863178248681,0.00113743236095171,0,0,0
800,0.01,9,0.000250843443147663,0.00173601628974545,0.00169021300202156,0,0,0
1600,0.01,9,0.000251273064867322,0.00276862972363046,0.000327935838185676,0,0,0
3200,0.01,9,0.000337687536032389,0.00148312840714625,0.000163842603361886,0,0,0
400,0.05,9,0.00190085398351165,0.00590851864444527,0.00128153521355683,0,0,0
800,0.05,9,0.00204969394534149,0.00541579658155532,0.00398587674254827,0,0,0
1600,0.05,9,0.00157170045840161,0.000421663520977709,0.00129312998694693,0,0,0
3200,0.05,9,0.000526359612866687,0.000129874225756704,0.00022404743029588,0,0,0
400,0.1,9,0.00162035407097644,0.00790005958883409,0.0184250034847026,0,0,0
800,0.1,9,0.00237450490786355,0.000743382418417337,0.00102258555328734,0,0,0
