"n","lambda","rep","theta","sigma","true_tau","bias","ci_lower","ci_upper","ci_width","coverage","mean_score","sd_score"
800,0.1,10,0.0918791347559179,0.619624910888027,0.15,-0.0581208652440821,0.0489421080728156,0.13481616143902,0.0858740533662045,0,1.07271830307454e-15,0.620012539897407
1600,0.1,10,0.160295514428792,0.647408736576345,0.15,0.0102955144287917,0.128573069254636,0.192017959602947,0.0634448903483107,1,-7.22200077518664e-16,0.64761114669121
3200,0.1,10,0.166199894399665,0.666511709481427,0.15,0.0161998943996651,0.143106866221061,0.189292922578269,0.0461860563572076,1,3.97699234655491e-15,0.666615876350779
800,0.01,11,0.144390060584176,0.673671363907853,0.15,-0.00560993941582377,0.0977078746044384,0.191072246563914,0.0933643719594757,1,1.17461596005342e-15,0.674092803651237
1600,0.01,11,0.186755686476253,0.698173312413506,0.15,0.0367556864762533,0.152545822793816,0.220965550158691,0.0684197273648751,0,-9.12204339842404e-16,0.698391593898414
3200,0.01,11,0.143568214450432,0.644468150921274,0.15,-0.00643178554956764,0.121238942574598,0.165897486326266,0.0446585437516679,1,3.33656713369379e-16,0.644568872677132
800,0.05,11,0.127784287740201,0.643321070111641,0.15,-0.0222157122597986,0.0832052311725789,0.172363344307824,0.089158113135245,1,7.84372566897673e-16,0.643723523119482
1600,0.05,11,0.162788093323317,0.672469412110554,0.15,0.0127880933233172,0.12983769761228,0.195738489034355,0.0659007914220754,1,-1.25205401602102e-15,0.672679657359434
3200,0.05,11,0.131640434598409,0.641768927089718,0.15,-0.018359565401591,0.109404684338348,0.15387618485847,0.0444715005201215,1,-2.33979502439752e-15,0.641869226992975
800,0.1,11,0.145732484511213,0.672723305522022,0.15,-0.00426751548878679,0.0991159944186069,0.19234897460382,0.0932329801852127,1,7.01175228989825e-16,0.673144152172833
1600,0.1,11,0.127767859013592,0.651958864055461,0.15,-0.0222321409864081,0.0958224616898332,0.159713256337351,0.0638907946475174,1,-1.31813830683836e-15,0.652162696752032
3200,0.1,11,0.178079525825254,0.668200769777571,0.15,0.0280795258252537,0.15492797576855,0.201231075881957,0.0463031001134067,0,-6.80100940841921e-15,0.668305200624463
800,0.01,12,0.151220836809028,0.662852774006736,0.15,0.00122083680902765,0.105288327085191,0.197153346532864,0.0918650194476727,1,1.28452803949131e-15,0.663267445785803
1600,0.01,12,0.151508624218551,0.648803072070378,0.15,0.00150862421855136,0.119717857860629,0.183299390576474,0.0635815327158443,1,1.00308650274883e-15,0.64900591811944
3200,0.01,12,0.145261061621247,0.652500551540281,0.15,-0.00473893837875292,0.122653486376998,0.167868636865496,0.0452151504884975,1,-3.43617495568438e-15,0.652602528652968
800,0.05,12,0.146621549684321,0.64541757663178,0.15,-0.00337845031567863,0.101897215296497,0.191345884072146,0.0894486687756486,1,-9.43412015175227e-16,0.6458213411859
1600,0.05,12,0.152512988888737,0.648759504171807,0.15,0.00251298888873697,0.120724357318617,0.184301620458857,0.0635772631402401,1,2.38233478083716e-15,0.648962336599514
3200,0.05,12,0.15841365515685,0.658375595428809,0.15,0.00841365515684972,0.135602523767768,0.181224786545932,0.0456222627781641,1,1.66533453693773e-15,0.658478490732308
800,0.1,12,0.173591845243935,0.661490985812385,0.15,0.0235918452439353,0.127753700893424,0.219429989594446,0.0916762887010222,1,-1.75415237890775e-16,0.661904805675077
1600,0.1,12,0.154186274420797,0.670287565076725,0.15,0.00418627442079708,0.121342787249911,0.187029761591683,0.0656869743417715,1,-2.02230593382424e-15,0.670497128178635
3200,0.1,12,0.162331814040647,0.657141253597808,0.15,0.0123318140406471,0.139563449628169,0.185100178453126,0.0455367288249571,1,-1.01300912103142e-15,0.657243955990186
800,0.01,13,0.221834270014526,0.719290479827453,0.15,0.0718342700145262,0.171990898673967,0.271677641355085,0.0996867426811182,0,-4.97102359275914e-16,0.71974045827611
1600,0.01,13,0.164848942683457,0.655370854682517,0.15,0.0148489426834569,0.132736360891083,0.196961524475831,0.0642251635847483,1,1.41602007897035e-15,0.655575754126222
3200,0.01,13,0.166487236203568,0.671500071154205,0.15,0.016487236203568,0.143221373286976,0.18975309912016,0.0465317258331847,1,-1.61641533491519e-15,0.671605017637797
800,0.05,13,0.102063353429139,0.609182161704375,0.15,-0.0479366465708612,0.0598499590475539,0.144276747810724,0.0844267887631697,0,-2.53963516883005e-16,0.609563257870335
1600,0.05,13,0.135275913430572,0.644366490458834,0.15,-0.0147240865694281,0.103702535576977,0.166849291284167,0.0631467557071893,1,-2.88172263829267e-16,0.644567949425915
3200,0.05,13,0.157696926620698,0.651160702308523,0.15,0.00769692662069763,0.135135773930808,0.180258079310588,0.0451223053797802,1,1.49944293093007e-15,0.65126247002069
800,0.1,13,0.129771651963194,0.630257733808767,0.15,-0.0202283480368057,0.0860978217826177,0.173445482143771,0.0873476603611532,1,5.18751708256104e-16,0.630652014569139
1600,0.1,13,0.173418830138015,0.665262945183656,0.15,0.0234188301380147,0.140821544817789,0.20601611545824,0.0651945706404505,1,1.96738458857482e-15,0.665470937355437
3200,0.1,13,0.175847475310027,0.656560837269927,0.15,0.0258474753100269,0.153099220927761,0.198595729692292,0.0454965087645309,0,6.11680844864182e-15,0.656663448950989
