"n","lambda","rep","theta","sigma","true_tau","bias","ci_lower","ci_upper","ci_width","coverage","mean_score","sd_score"
800,0.01,14,0.123444128237498,0.648264663008576,0.15,-0.0265558717625023,0.0785225044547806,0.168365752020215,0.089843247565434,1,9.96841498235313e-16,0.648670208661636
1600,0.01,14,0.172067281020579,0.676403546995942,0.15,0.0220672810205788,0.138924116242399,0.205210445798759,0.0662863295563596,1,2.70922173584154e-15,0.676615022238564
3200,0.01,14,0.147908220537093,0.642027958442957,0.15,-0.00209177946290681,0.125663495463455,0.170152945610731,0.0444894501472755,1,-2.0675561956951e-15,0.642128298829354
800,0.05,14,0.120276036920067,0.636272719067882,0.15,-0.029723963079933,0.0761853971857898,0.164366676654344,0.0881812794685545,1,-2.14550599508811e-16,0.63667076272212
1600,0.05,14,0.176830460403277,0.679038232751246,0.15,0.0268304604032771,0.143558198395323,0.210102722411231,0.0665445240159085,1,1.26437055270046e-15,0.679250531719306
3200,0.05,14,0.122338993531615,0.620758143090877,0.15,-0.0276610064683851,0.100831216418969,0.143846770644261,0.0430155542252925,0,-1.27686056172749e-15,0.620855159289501
800,0.1,14,0.206237693165818,0.691025489247827,0.15,0.0562376931658184,0.158352949752235,0.254122436579402,0.095769486827167,0,1.46591072613944e-15,0.691457785498585
1600,0.1,14,0.110281919202,0.636561838651602,0.15,-0.0397180807980004,0.0790909622597562,0.141472876144243,0.0623819138844868,0,1.6306400674182e-16,0.636760857521137
3200,0.1,14,0.131141276472216,0.625465255662231,0.15,-0.0188587235277839,0.109470409226713,0.152812143717719,0.0433417344910068,1,5.59951390810553e-15,0.625563007519616
800,0.01,15,0.149081321391758,0.654450177467803,0.15,-0.000918678608241796,0.103731071201811,0.194431571581706,0.0907005003798953,1,-1.1816936318354e-15,0.654859592695502
1600,0.01,15,0.167949415254176,0.688125319953257,0.15,0.0179494152541764,0.134231894155214,0.201666936353138,0.0674350421979242,1,3.60086960249362e-15,0.688340459967878
3200,0.01,15,0.171575358591117,0.665542228662237,0.15,0.0215753585911169,0.148515920591887,0.194634796590347,0.0461188759984601,1,5.43631112348564e-15,0.665646244014701
800,0.05,15,0.18800535632458,0.718079695029167,0.15,0.0380053563245802,0.138245886548142,0.237764826101019,0.0995189395528773,1,-1.15484011242728e-15,0.718528916027143
1600,0.05,15,0.177014500572802,0.669603135778254,0.15,0.0270145005728021,0.14420454982129,0.209824451324314,0.0656199015030231,1,3.9838965459893e-15,0.669812484895697
3200,0.05,15,0.150712080216745,0.647303000446325,0.15,0.000712080216745209,0.128284587620956,0.173139572812535,0.0448549851915791,1,-4.92925145145762e-15,0.647404165251262
